tensor(0.5715, device='cuda:0')
tensor(0.5875, device='cuda:0')
tensor(0.5978, device='cuda:0')
tensor(0.6162, device='cuda:0')
tensor(0.6338, device='cuda:0')
tensor(0.6502, device='cuda:0')
tensor(0.6670, device='cuda:0')
tensor(0.6727, device='cuda:0')
tensor(0.6811, device='cuda:0')
tensor(0.6832, device='cuda:0')
tensor(0.6892, device='cuda:0')
tensor(0.6924, device='cuda:0')
tensor(0.6970, device='cuda:0')
tensor(0.7015, device='cuda:0')
tensor(0.7045, device='cuda:0')
tensor(0.7089, device='cuda:0')
tensor(0.7109, device='cuda:0')
tensor(0.7117, device='cuda:0')
tensor(0.7147, device='cuda:0')
tensor(0.7142, device='cuda:0')
tensor(0.7136, device='cuda:0')
tensor(0.7153, device='cuda:0')
tensor(0.7154, device='cuda:0')
tensor(0.7174, device='cuda:0')
tensor(0.7193, device='cuda:0')
tensor(0.7190, device='cuda:0')
tensor(0.7198, device='cuda:0')
tensor(0.7233, device='cuda:0')
tensor(0.7245, device='cuda:0')
tensor(0.7247, device='cuda:0')
tensor(0.7265, device='cuda:0')
tensor(0.7266, device='cuda:0')
tensor(0.7272, device='cuda:0')
tensor(0.7292, device='cuda:0')
tensor(0.7300, device='cuda:0')
tensor(0.7317, device='cuda:0')
tensor(0.7350, device='cuda:0')
tensor(0.7359, device='cuda:0')
tensor(0.7370, device='cuda:0')
tensor(0.7371, device='cuda:0')
tensor(0.7386, device='cuda:0')
tensor(0.7396, device='cuda:0')
tensor(0.7403, device='cuda:0')
tensor(0.7390, device='cuda:0')
tensor(0.7398, device='cuda:0')
tensor(0.7388, device='cuda:0')
tensor(0.7401, device='cuda:0')
tensor(0.7410, device='cuda:0')
tensor(0.7414, device='cuda:0')
tensor(0.7422, device='cuda:0')
tensor(0.7429, device='cuda:0')
tensor(0.7431, device='cuda:0')
tensor(0.7430, device='cuda:0')
tensor(0.7432, device='cuda:0')
tensor(0.7433, device='cuda:0')
tensor(0.7438, device='cuda:0')
tensor(0.7449, device='cuda:0')
tensor(0.7451, device='cuda:0')
tensor(0.7455, device='cuda:0')
tensor(0.7439, device='cuda:0')
tensor(0.7448, device='cuda:0')
tensor(0.7444, device='cuda:0')
tensor(0.7441, device='cuda:0')
tensor(0.7447, device='cuda:0')
tensor(0.7453, device='cuda:0')
tensor(0.7459, device='cuda:0')
tensor(0.7468, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7475, device='cuda:0')
tensor(0.7475, device='cuda:0')
tensor(0.7462, device='cuda:0')
tensor(0.7459, device='cuda:0')
tensor(0.7459, device='cuda:0')
tensor(0.7468, device='cuda:0')
tensor(0.7474, device='cuda:0')
tensor(0.7474, device='cuda:0')
tensor(0.7473, device='cuda:0')
tensor(0.7474, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.7485, device='cuda:0')
tensor(0.7489, device='cuda:0')
tensor(0.7496, device='cuda:0')
tensor(0.7466, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.7459, device='cuda:0')
tensor(0.7448, device='cuda:0')
tensor(0.7496, device='cuda:0')
tensor(0.7486, device='cuda:0')
tensor(0.7487, device='cuda:0')
tensor(0.7471, device='cuda:0')
tensor(0.7484, device='cuda:0')
tensor(0.7487, device='cuda:0')
tensor(0.7461, device='cuda:0')
tensor(0.7486, device='cuda:0')
tensor(0.7481, device='cuda:0')
tensor(0.7491, device='cuda:0')
tensor(0.7493, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.7483, device='cuda:0')
tensor(0.7494, device='cuda:0')
tensor(0.7486, device='cuda:0')
tensor(0.7486, device='cuda:0')
tensor(0.7475, device='cuda:0')
tensor(0.7484, device='cuda:0')
tensor(0.7493, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.7472, device='cuda:0')
tensor(0.7451, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7492, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7464, device='cuda:0')
tensor(0.7469, device='cuda:0')
tensor(0.7484, device='cuda:0')
tensor(0.7456, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7477, device='cuda:0')
tensor(0.7472, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7466, device='cuda:0')
tensor(0.7468, device='cuda:0')
tensor(0.7482, device='cuda:0')
tensor(0.7463, device='cuda:0')
tensor(0.7458, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.7473, device='cuda:0')
tensor(0.7457, device='cuda:0')
tensor(0.7454, device='cuda:0')
tensor(0.7471, device='cuda:0')
tensor(0.7475, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.7466, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.7454, device='cuda:0')
tensor(0.7453, device='cuda:0')
tensor(0.7458, device='cuda:0')
tensor(0.7467, device='cuda:0')
tensor(0.7463, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.7463, device='cuda:0')
tensor(0.7478, device='cuda:0')
tensor(0.7467, device='cuda:0')
tensor(0.7469, device='cuda:0')
tensor(0.7476, device='cuda:0')
tensor(0.7489, device='cuda:0')
tensor(0.7459, device='cuda:0')
tensor(0.7463, device='cuda:0')
tensor(0.7464, device='cuda:0')
tensor(0.7485, device='cuda:0')
tensor(0.7471, device='cuda:0')
tensor(0.7487, device='cuda:0')
tensor(0.7453, device='cuda:0')
tensor(0.7468, device='cuda:0')
tensor(0.7477, device='cuda:0')
tensor(0.7468, device='cuda:0')
tensor(0.7474, device='cuda:0')
tensor(0.7460, device='cuda:0')
tensor(0.7499, device='cuda:0')
tensor(0.7466, device='cuda:0')
tensor(0.7480, device='cuda:0')
tensor(0.7477, device='cuda:0')
tensor(0.7458, device='cuda:0')
tensor(0.7470, device='cuda:0')
tensor(0.7464, device='cuda:0')
tensor(0.7477, device='cuda:0')
tensor(0.7484, device='cuda:0')
tensor(0.7498, device='cuda:0')
tensor(0.7479, device='cuda:0')
