/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/5][0/390] Loss_D: 0.0667  Loss_G: 11.7112
[0/5][50/390] Loss_D: 0.0154  Loss_G: 7.6915
[0/5][100/390] Loss_D: 0.0271  Loss_G: 9.8484
[0/5][150/390] Loss_D: 0.0094  Loss_G: 8.5159
[0/5][200/390] Loss_D: 0.0123  Loss_G: 8.1280
[0/5][250/390] Loss_D: 0.0213  Loss_G: 7.8281
[0/5][300/390] Loss_D: 0.0206  Loss_G: 7.6527
[0/5][350/390] Loss_D: 0.0021  Loss_G: 10.6622
[1/5][0/390] Loss_D: 0.0194  Loss_G: 7.5882
[1/5][50/390] Loss_D: 0.0249  Loss_G: 8.4105
[1/5][100/390] Loss_D: 0.0037  Loss_G: 8.7870
[1/5][150/390] Loss_D: 0.0821  Loss_G: 6.3702
[1/5][200/390] Loss_D: 0.0249  Loss_G: 8.7679
[1/5][250/390] Loss_D: 0.0718  Loss_G: 9.9521
[1/5][300/390] Loss_D: 0.0041  Loss_G: 9.3163
[1/5][350/390] Loss_D: 0.5091  Loss_G: 1.0615
[2/5][0/390] Loss_D: 0.0201  Loss_G: 8.7295
[2/5][50/390] Loss_D: 0.0929  Loss_G: 6.3640
[2/5][100/390] Loss_D: 0.1408  Loss_G: 7.2270
[2/5][150/390] Loss_D: 0.0100  Loss_G: 6.9929
[2/5][200/390] Loss_D: 0.0220  Loss_G: 6.7847
[2/5][250/390] Loss_D: 0.0106  Loss_G: 6.7935
[2/5][300/390] Loss_D: 0.0092  Loss_G: 6.7811
[2/5][350/390] Loss_D: 0.0388  Loss_G: 7.2151
[3/5][0/390] Loss_D: 0.0042  Loss_G: 7.2487
[3/5][50/390] Loss_D: 0.0603  Loss_G: 6.1189
[3/5][100/390] Loss_D: 0.0366  Loss_G: 6.2747
[3/5][150/390] Loss_D: 0.0072  Loss_G: 7.4941
[3/5][200/390] Loss_D: 0.0463  Loss_G: 6.2009
[3/5][250/390] Loss_D: 0.0023  Loss_G: 8.5819
[3/5][300/390] Loss_D: 0.0240  Loss_G: 7.8991
[3/5][350/390] Loss_D: 0.0082  Loss_G: 8.3530
[4/5][0/390] Loss_D: 0.0015  Loss_G: 8.4167
[4/5][50/390] Loss_D: 0.0011  Loss_G: 10.4255
[4/5][100/390] Loss_D: 0.0087  Loss_G: 7.8818
[4/5][150/390] Loss_D: 0.0050  Loss_G: 8.2050
[4/5][200/390] Loss_D: 0.0021  Loss_G: 7.8736
[4/5][250/390] Loss_D: 0.0044  Loss_G: 8.1724
[4/5][300/390] Loss_D: 0.0119  Loss_G: 8.3847
[4/5][350/390] Loss_D: 0.0007  Loss_G: 9.2939
