/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/5][0/390] Loss_D: 0.1206  Loss_G: 7.5786
[0/5][50/390] Loss_D: 0.0131  Loss_G: 7.3849
[0/5][100/390] Loss_D: 0.0229  Loss_G: 6.3714
[0/5][150/390] Loss_D: 0.0127  Loss_G: 8.2231
[0/5][200/390] Loss_D: 0.0290  Loss_G: 6.5722
[0/5][250/390] Loss_D: 0.0133  Loss_G: 7.2132
[0/5][300/390] Loss_D: 0.0642  Loss_G: 7.4312
[0/5][350/390] Loss_D: 0.0015  Loss_G: 8.8665
[1/5][0/390] Loss_D: 0.0065  Loss_G: 7.4292
[1/5][50/390] Loss_D: 0.0026  Loss_G: 8.2014
[1/5][100/390] Loss_D: 0.0015  Loss_G: 8.5420
[1/5][150/390] Loss_D: 0.0083  Loss_G: 7.7907
[1/5][200/390] Loss_D: 0.0253  Loss_G: 6.4222
[1/5][250/390] Loss_D: 0.0020  Loss_G: 9.3699
[1/5][300/390] Loss_D: 0.0019  Loss_G: 8.4667
[1/5][350/390] Loss_D: 0.0116  Loss_G: 8.2070
[2/5][0/390] Loss_D: 0.0098  Loss_G: 7.0550
[2/5][50/390] Loss_D: 0.0033  Loss_G: 7.7396
[2/5][100/390] Loss_D: 0.0076  Loss_G: 9.5269
[2/5][150/390] Loss_D: 0.0194  Loss_G: 8.0266
[2/5][200/390] Loss_D: 0.0033  Loss_G: 8.1827
[2/5][250/390] Loss_D: 0.0243  Loss_G: 6.3745
[2/5][300/390] Loss_D: 0.0033  Loss_G: 7.8960
[2/5][350/390] Loss_D: 0.0033  Loss_G: 8.2298
[3/5][0/390] Loss_D: 0.0012  Loss_G: 9.0094
[3/5][50/390] Loss_D: 0.0102  Loss_G: 7.6988
[3/5][100/390] Loss_D: 0.0035  Loss_G: 7.6083
[3/5][150/390] Loss_D: 0.0013  Loss_G: 8.4809
[3/5][200/390] Loss_D: 0.0162  Loss_G: 6.8223
[3/5][250/390] Loss_D: 0.0016  Loss_G: 8.9336
[3/5][300/390] Loss_D: 0.0009  Loss_G: 8.8972
[3/5][350/390] Loss_D: 0.0094  Loss_G: 8.4635
[4/5][0/390] Loss_D: 0.0141  Loss_G: 6.9999
[4/5][50/390] Loss_D: 0.0108  Loss_G: 7.8597
[4/5][100/390] Loss_D: 0.0012  Loss_G: 8.3440
[4/5][150/390] Loss_D: 0.0339  Loss_G: 7.3859
[4/5][200/390] Loss_D: 0.0057  Loss_G: 7.8243
[4/5][250/390] Loss_D: 0.0013  Loss_G: 8.6196
[4/5][300/390] Loss_D: 0.0037  Loss_G: 7.9245
[4/5][350/390] Loss_D: 0.0013  Loss_G: 9.0257
