/home/pranav/ml-env/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
[0/10][0/390] Loss_D: 0.9183  Loss_G: 1.1994
[0/10][50/390] Loss_D: 0.7216  Loss_G: 1.5943
[0/10][100/390] Loss_D: 0.6007  Loss_G: 1.6299
[0/10][150/390] Loss_D: 0.6758  Loss_G: 1.5856
[0/10][200/390] Loss_D: 0.6266  Loss_G: 1.5714
[0/10][250/390] Loss_D: 0.6398  Loss_G: 1.7206
[0/10][300/390] Loss_D: 0.7075  Loss_G: 1.5722
[0/10][350/390] Loss_D: 0.3882  Loss_G: 1.9800
[1/10][0/390] Loss_D: 0.5612  Loss_G: 1.7507
[1/10][50/390] Loss_D: 0.4135  Loss_G: 1.9762
[1/10][100/390] Loss_D: 0.4974  Loss_G: 1.9598
[1/10][150/390] Loss_D: 0.4223  Loss_G: 2.2644
[1/10][200/390] Loss_D: 0.4949  Loss_G: 1.9051
[1/10][250/390] Loss_D: 0.4932  Loss_G: 2.0477
[1/10][300/390] Loss_D: 0.4399  Loss_G: 2.0966
[1/10][350/390] Loss_D: 0.4724  Loss_G: 1.8900
[2/10][0/390] Loss_D: 0.3881  Loss_G: 2.4279
[2/10][50/390] Loss_D: 0.6257  Loss_G: 2.0859
[2/10][100/390] Loss_D: 0.4715  Loss_G: 2.0836
[2/10][150/390] Loss_D: 0.3542  Loss_G: 2.2413
[2/10][200/390] Loss_D: 0.5372  Loss_G: 2.0315
[2/10][250/390] Loss_D: 0.2812  Loss_G: 2.6961
[2/10][300/390] Loss_D: 0.5871  Loss_G: 2.3247
[2/10][350/390] Loss_D: 0.3055  Loss_G: 2.3012
[3/10][0/390] Loss_D: 0.6588  Loss_G: 3.3607
[3/10][50/390] Loss_D: 0.2396  Loss_G: 2.4650
[3/10][100/390] Loss_D: 0.4097  Loss_G: 2.7674
[3/10][150/390] Loss_D: 0.4830  Loss_G: 2.4609
[3/10][200/390] Loss_D: 0.3705  Loss_G: 2.3169
[3/10][250/390] Loss_D: 0.3939  Loss_G: 2.2138
[3/10][300/390] Loss_D: 0.2738  Loss_G: 2.3964
[3/10][350/390] Loss_D: 0.4877  Loss_G: 2.4194
[4/10][0/390] Loss_D: 0.3916  Loss_G: 2.1963
[4/10][50/390] Loss_D: 0.3347  Loss_G: 3.0012
[4/10][100/390] Loss_D: 0.2595  Loss_G: 2.7151
[4/10][150/390] Loss_D: 0.2581  Loss_G: 2.9487
[4/10][200/390] Loss_D: 0.2253  Loss_G: 2.6434
[4/10][250/390] Loss_D: 0.3046  Loss_G: 2.9993
[4/10][300/390] Loss_D: 0.4493  Loss_G: 2.1064
[4/10][350/390] Loss_D: 0.2450  Loss_G: 3.1899
[5/10][0/390] Loss_D: 0.1460  Loss_G: 3.0614
[5/10][50/390] Loss_D: 0.3010  Loss_G: 2.9363
[5/10][100/390] Loss_D: 0.1751  Loss_G: 3.2243
[5/10][150/390] Loss_D: 0.4322  Loss_G: 3.2049
[5/10][200/390] Loss_D: 0.2885  Loss_G: 3.2118
[5/10][250/390] Loss_D: 0.2466  Loss_G: 2.5449
[5/10][300/390] Loss_D: 0.2880  Loss_G: 2.8127
[5/10][350/390] Loss_D: 0.2519  Loss_G: 2.7756
[6/10][0/390] Loss_D: 0.1885  Loss_G: 3.3046
[6/10][50/390] Loss_D: 0.1994  Loss_G: 3.1510
[6/10][100/390] Loss_D: 0.4009  Loss_G: 2.4690
[6/10][150/390] Loss_D: 0.2757  Loss_G: 2.5893
[6/10][200/390] Loss_D: 0.4479  Loss_G: 2.3271
[6/10][250/390] Loss_D: 0.3005  Loss_G: 2.9004
[6/10][300/390] Loss_D: 0.2509  Loss_G: 3.1057
[6/10][350/390] Loss_D: 0.2078  Loss_G: 3.2378
[7/10][0/390] Loss_D: 0.1566  Loss_G: 3.0082
[7/10][50/390] Loss_D: 0.1735  Loss_G: 2.9066
[7/10][100/390] Loss_D: 0.1618  Loss_G: 3.2189
[7/10][150/390] Loss_D: 0.3134  Loss_G: 3.1275
[7/10][200/390] Loss_D: 0.3748  Loss_G: 2.4653
[7/10][250/390] Loss_D: 0.2245  Loss_G: 3.2342
[7/10][300/390] Loss_D: 0.2069  Loss_G: 3.9096
[7/10][350/390] Loss_D: 0.2647  Loss_G: 2.8616
[8/10][0/390] Loss_D: 0.1974  Loss_G: 3.0531
[8/10][50/390] Loss_D: 0.1300  Loss_G: 3.2610
[8/10][100/390] Loss_D: 0.3694  Loss_G: 3.1885
[8/10][150/390] Loss_D: 0.1746  Loss_G: 2.6973
[8/10][200/390] Loss_D: 0.1415  Loss_G: 3.4449
[8/10][250/390] Loss_D: 0.1351  Loss_G: 3.4256
[8/10][300/390] Loss_D: 0.2780  Loss_G: 2.9587
[8/10][350/390] Loss_D: 0.2342  Loss_G: 3.0115
[9/10][0/390] Loss_D: 0.1842  Loss_G: 3.6041
[9/10][50/390] Loss_D: 0.1313  Loss_G: 3.1583
[9/10][100/390] Loss_D: 0.2407  Loss_G: 2.2698
[9/10][150/390] Loss_D: 0.2395  Loss_G: 3.5056
[9/10][200/390] Loss_D: 0.1335  Loss_G: 3.9997
[9/10][250/390] Loss_D: 0.1637  Loss_G: 3.4010
[9/10][300/390] Loss_D: 0.1557  Loss_G: 3.2336
[9/10][350/390] Loss_D: 0.2283  Loss_G: 3.5061
